year,district,A1101,A1102,A1414,A2101,A210102,B1101,B1103,C120110,D2201,D320101,D320108,D320113,D320115,D320122,D320406
2017,岐阜県第１区,406735,396875,348905,404168,210151,20360,14296,619252159,0.8500000000000001,66056904,7937282,26310911,8712421,238652,18345552
2017,岐阜県第２区,372399,365783,322008,369774,188995,143297,45294,503857458,0.6254545454545455,55577558,26374126,16909144,10118423,226131,27104645
2017,岐阜県第３区,909679,890928,779886,905271,464583,158262,52311,1314705097,0.7018181818181819,136902685,40578680,49003598,21413766,588165,42982564
2017,岐阜県第４区,412871,401265,357289,407644,208968,604291,83814,531492819,0.448,59333378,62534467,20574026,13389685,230272,31111512
2017,岐阜県第５区,336954,332004,293819,336802,173034,156282,39697,445446598,0.588,44843847,35975725,14455244,8873795,192188,15958925
2017,岡山県第１区,489615,479137,415899,469468,242375,84696,34364,684482297.675294,0.6166666666666667,76342560.50027314,20570308.62151707,35019902.71089432,9600893.276664415,298070.63006981276,24655314.68913178
2017,岡山県第２区,817185,802527,697099,795661,412785,101898,55016,1141059351,0.72,127419856,35114923,57339302,15465065,500256,40075999
2017,岡山県第３区,417784,414758,364200,420129,219118,351554,90632,486895263.0139023,0.3607142857142857,54763343.14619385,76762743.01050848,26086621.152207296,13791576.30173478,204439.91626340445,31663581.585644294
2017,岡山県第４区,489272,473480,402792,490969,251498,36325,26282,655059225,0.765,83109313,15115774,32288832,11183447,383600,17676130
2017,岡山県第５区,816103,796762,690721,818058,421072,355436,102972,1012504100,0.4490909090909091,121193589,85050271,50325378,21615078,531377,43842880
2017,岩手県第１区,357923,355392,308713,351984,185244,119277,38880,484178457,0.61,49640312,20595305,23380447,9352780,158180,16259374
2017,岩手県第２区,459810,457698,408158,459111,237102,965269,162115,449786389,0.28956521739130436,46970769,148981238,119506487,32149676,140851,182008692
2017,岩手県第３区,461861,459655,404588,460008,236976,442955,170406,495101450,0.4185714285714286,54286646,75506054,27882695,18828109,178691,25169811
2017,島根県第１区,490394,484927,419572,488212,253165,288519,71692,595630554,0.26555555555555554,61693354,88660700,35319695,18317535,206755,36007157
2017,島根県第２区,414928,410096,361273,413086,215663,500039,92583,459998900,0.26,48034747,98679322,30000867,17829192,152398,30876124
2017,広島県第１区,399523,389085,338917,386855,201122,8104,5649,609963300.060048,0.8400000000000001,68676626.8517442,11383883.078510711,41078586.53843735,8112302.748886237,231169.9965112583,21734345.197587714
2017,広島県第２区,494738,487218,424231,491211,253447,92967,21110,738425828.531736,0.6940000000000001,81527711.41628805,26767363.846086577,44991080.34432563,12492556.89217196,298562.053884699,29900798.325784735
2017,広島県第３区,442408,437461,374095,441146,226674,199641,39596,667077536.2181131,0.512,75688119.62116599,31275365.597156145,44525287.20502582,11618085.652493281,248807.6789278302,25461582.25970006
2017,広島県第４区,484676,473748,412654,472197,239418,127444,45490,671093982.1901028,0.7442857142857143,76492237.11080176,28014432.47824657,33143852.91221119,13314765.706448521,307485.2706762125,35045589.2169275
2017,広島県第５区,715036,701363,622538,699724,360185,200666,79979,914191756,0.5457142857142857,101248909,69323932,45293275,20818227,396602,42496810
2017,広島県第６区,391058,385880,343609,390184,203985,363716,87605,453178804,0.3942857142857143,50860644,73248686,26064598,15741603,167375,32904483
2017,広島県第７区,464811,456972,395180,463371,238033,51814,25524,611717892,0.8200000000000001,72960751,16185362,30088903,11110975,296216,15338025
2017,徳島県第１区,439389,433280,380763,438837,229246,215995,49470,549320643,0.3491666666666667,63859634,41441129,30492554,14423513,162352,26874143
2017,徳島県第２区,316344,313861,278210,320007,166656,198684,51564,346848381,0.4725,35352904,56178008,20553283,11152903,111042,21291947
2017,愛媛県第１区,514865,502860,431682,513003,271710,42940,24032,646934425,0.75,68307043,21695366,40407986,12636838,294860,18644513
2017,愛媛県第２区,766030,751167,651415,766216,405012,121222,55179,928278825,0.5366666666666666,101322211,54906294,54250980,20242105,425416,36650549
2017,愛媛県第３区,315490,312240,272502,319728,165704,116568,30951,388055888,0.7433333333333333,49001498,20041936,18888574,11087116,181994,27556773
2017,愛媛県第４区,303742,302101,269380,308469,162832,329829,81192,286567084,0.2990909090909091,30839027,80699489,22329003,13561826,85846,29439869
2017,愛知県第10区,583869,572526,498152,583448,295803,17929,17929,857150611,0.906,79050732,15055230,26183441,11834183,426020,21468238
2017,愛知県第11区,484352,468301,410707,468136,223749,95051,32335,901697347,1.3250000000000002,138775046,7002941,24282336,10644942,334072,42755466
2017,愛知県第12区,549041,534180,465778,538789,266179,54842,29170,942659137,0.99,98769222,4062664,21208203,10516857,415064,22716528
2017,愛知県第13区,521988,502060,439561,506457,243975,20254,20204,956169670,1.1520000000000001,115002392,370407,24415814,9799691,356994,35265480
2017,愛知県第14区,782415,759492,668367,764540,373658,224553,60063,1311960411,0.6875,180956245,25906382,37687813,18956931,538570,58064212
2017,愛知県第15区,437129,422436,374004,425307,211139,45298,35703,674247740,0.995,80814340,3441581,20320692,10980391,303606,20465552
2017,愛知県第１区,473923,452222,411883,448123,227284,5255,5255,858450322.0847611,0.99,103724756.64219056,1065011.5235966402,35367427.55401265,10033393.658947434,261713.1322648233,19001248.348723758
2017,愛知県第２区,501621,483753,423187,482694,247004,7164,6531,924676528.0255235,0.99,111726730.5687178,1147173.1474861961,38095891.252527945,10807432.153252505,281903.3137451919,20467123.023006774
2017,愛知県第３区,511675,496862,434458,494208,249316,7043,6660,946733411.9803394,0.99,114391817.71661735,1174537.381597571,39004616.225039735,11065228.54975329,288627.7287046945,20955338.02979555
2017,愛知県第４区,454932,438045,397176,439370,218925,8352,8348,841682569.3266838,0.99,101698744.15256362,1044209.0968833463,34676610.31548601,9837415.55762979,256601.19860662235,18630104.875176586
2017,愛知県第５区,520124,505981,449321,506712,251958,9022,9022,917852787.5826924,0.988,108650117.9199107,4449171.850436246,33869026.652933665,10604096.08041698,341613.6266786679,22957191.723297335
2017,愛知県第６区,530278,514694,448220,523405,261285,23049,17268,842793368,1.02,94072350,2275997,25215921,10116269,384071,23465241
2017,愛知県第７区,556550,541634,466668,549289,274967,26380,18396,961349138,0.9685714285714286,91122741,5214371,20652501,9778739,485571,16538807
2017,愛知県第８区,531748,520043,451606,530193,261986,35854,32147,836607710,0.9122222222222223,102987978,6125842,20796615,10614996,463200,20842686
2017,愛知県第９区,846893,831321,724382,844148,426919,40155,40146,1231406269,0.9722222222222222,119210627,28206272,36999341,17809642,608157,30677299
2017,新潟県第１区,629411,624172,547348,613255,318077,35360,34554,828318413.5868394,0.75,92275457.92418404,31047583.825653367,42416020.81131736,14300032.720483627,368201.69893118285,38300153.010669306
2017,新潟県第２区,783253,778111,685632,774971,397849,276711,133552,981430728.2464354,0.638,112179238.76889172,81137139.06265604,48430031.90134102,23453913.81606584,431448.204767098,53869914.34090323
2017,新潟県第３区,394320,392301,347612,394225,203035,392448,126798,436826822.36247706,0.458,49338430.991988584,60364818.23137369,22374563.847697645,12204621.176028408,198844.2734307684,26564951.76163378
2017,新潟県第４区,646407,642689,564570,645971,331650,183808,96849,823393589.8284584,0.6025,88171550.66699246,57788226.3615022,38205395.92632747,16354124.03005317,364125.3645022396,36094995.609735206
2017,新潟県第５区,415597,412319,363156,412134,210131,293485,95844,503011004,0.5740000000000001,57566566,56335481,23336176,11743419,211185,32541809
2017,新潟県第６区,339294,337098,297355,338195,172862,292628,93812,395194394,0.43,49964614,56487552,24560964,11711801,157794,36467843
2017,東京都第10区,1674664,1580873,1483131,1571556,791032,9490,9490,3715974224,3,175102505,0,119018324,44315372,637758,78218528
2017,東京都第11区,561916,544630,489159,534642,269841,3222,3222,991402857,3,44973474,0,45107368,13083063,356549,14639244
2017,東京都第12区,1864281,1772382,1637233,1771350,885850,11909,11909,3307531618,3,151711782,0,156754033,50156134,1157136,96050056
2017,東京都第13区,670122,635615,581351,653864,324397,5325,5325,1055707477,3,47203112,0,64867037,19101916,551073,37431004
2017,東京都第14区,666611,625364,592335,628247,311763,3404,3404,1292446856,3,60959060,0,62232795,20116708,391555,31127397
2017,東京都第15区,498109,472414,432582,480434,241804,4016,4016,1090826516,3,49986372,0,31560862,11159587,314519,21074594
2017,東京都第16区,681298,649283,583849,660687,325735,4990,4990,1168681008,3,52542168,0,52318514,15274522,453601,23484446
2017,東京都第17区,1124211,1079043,974364,1098812,544132,8470,8470,1907667083,3,85545532,0,90466686,28606316,810490,44108304
2017,東京都第18区,526400,509528,454841,511451,257741,5171,5166,1134761181,1.2366666666666668,112687149,132838,36438615,24066814,296915,36879866
2017,東京都第19区,512759,497213,444228,499971,254229,4772,4750,955436898,0.9633333333333334,84769731,3582031,30160528,23539524,340466,13581126
2017,東京都第20区,497838,486403,428968,492300,250305,6899,6420,768500206,0.804,69496060,14197436,35585467,28296408,398465,13661947
2017,東京都第21区,1248013,1199583,1066284,1218334,609498,28542,20312,2127319165,1.0183333333333333,216602190,5518197,80390405,59898913,863127,49541487
2017,東京都第22区,583882,565389,504744,575119,292118,6236,5963,1202276975,1.05,109945395,2439470,33630357,27537210,353621,28119833
2017,東京都第23区,578979,566661,501138,568958,289542,9281,8474,1014686988,1.045,97008425,825986,34749843,25213990,410242,13491629
2017,東京都第24区,577513,557072,496139,552115,275101,18638,10810,902184540,0.9500000000000001,89167575,3753669,36553348,25939634,396676,18306475
2017,東京都第25区,502436,491671,432786,493017,245395,59004,14919,746069364,0.7355555555555555,78443267,12986760,34168841,33369936,341737,18987394
2017,東京都第１区,635249,580701,560561,584626,299993,5025,5025,2708768665,3,140851135,0,44313903,18114699,142529,37338025
2017,東京都第２区,802263,750040,703712,757731,392794,5198,5198,3097370956,3,156234870,0,59127217,23431609,245547,65239145
2017,東京都第３区,1130428,1085441,985789,1092757,549505,48293,24647,2650042283,0.7245454545454545,123399101,11139275,81440245,40658695,503823,76179630
2017,東京都第４区,717082,682048,627639,695696,347928,6075,6075,1599152603,3,73006451,0,48668989,16781719,345229,27334610
2017,東京都第５区,1180968,1155398,1004637,1139953,599901,7272,7272,3471968113,3,162905574,0,55676279,28236836,346069,63294816
2017,東京都第６区,903346,885544,757829,874339,459438,5805,5805,2570417129,3,119444765,0,43922279,22339069,282212,54533532
2017,東京都第７区,1781222,1690004,1560558,1703260,877198,10227,10227,5011036094,3,235699449,0,101420682,45748119,553147,96166086
2017,東京都第８区,563997,537827,495109,544407,283166,3406,3406,1398811854,3,63341296,0,26828474,14216098,185080,26934505
2017,東京都第９区,721722,708899,630803,707289,361170,4808,4808,1454565735,3,64892591,0,49190809,18530244,352615,28929008
2017,栃木県第１区,609071,586251,524186,604491,301219,54583,45989,963064538,0.9199999999999999,108060269,7331040,41217644,13957174,418526,37015958
2017,栃木県第２区,945600,918387,820717,940709,470860,306138,119136,1373439048,0.7185714285714285,154793702,35967892,60083670,23810170,609324,52740279
